Last Price,Open Price,Max,Min,Size,Change Persent,Class
386.42,412.44,417.07,374.36,36.94,0.0619,XRP
435.4,386.36,467.88,370.96,47.8,0.1268,XRP
460.7,435.39,477.78,432.44,99.07,0.0581,XRP
551.91,460.75,552.13,440.44,114.89,0.198,XRP
537.74,551.9,621.7,484.03,167.78,0.0257,XRP
596.68,537.89,635.66,530.71,246.34,0.1096,XRP
567.78,596.61,606.9,530.88,112.41,0.0484,XRP
658.17,568.07,675.68,563.37,17.51,0.1592,XRP
636.58,657.79,661.04,554.09,13.54,0.0328,XRP
774.5,636.35,787.26,627.12,13.07,0.2167,XRP
1275.58,774.54,1301.75,769.57,24.32,0.647,XRP
1228.27,1275.87,1347.98,917.96,19.35,0.0371,XRP
1233.4,1228.33,1437.42,1045.02,17.28,0.0042,XRP
1376.96,1233.41,1474.68,1210.4,17.87,0.1164,XRP
1676.63,1377.05,1760.09,1272.09,14.22,0.2176,XRP
1815.49,1676.62,1871.36,1491.68,13.12,0.0828,XRP
1913.88,1815.44,2040.79,1661.09,10.99,0.0542,XRP
1458.93,1912.97,1974.99,1370.45,15.77,0.2377,XRP
1649.19,1458.84,1670.01,1294.79,11.79,0.1304,XRP
1921.13,1650.94,1943.36,1634.73,10.86,0.1649,XRP
1804.6,1921.29,1932.36,1715.97,9.62,0.0607,XRP
1713.01,1804.6,1815.85,1546.48,11.16,0.0508,XRP
2008.59,1712.89,2144.11,1661.92,14.28,0.1726,XRP
2133.79,2007.82,2197.73,1939.64,14.71,0.0623,XRP
2318.33,2133.89,2544.54,2103.73,14.66,0.0865,XRP
2215.93,2317.88,2642.99,1948.93,18.5,0.0442,XRP
2944.66,2217.23,2951.74,2169.91,10.71,0.3289,XRP
3905.55,2945.04,3952.88,2854.12,12.4,0.3263,XRP
3641.65,3905.69,4366.1,3539.96,15.99,0.0676,XRP
2291.6,3643.67,3877.2,1922.25,26.61,0.3707,XRP
2276.07,2292.68,2908.37,1739.91,19.94,0.0068,XRP
2628.98,2276.97,2889.19,2181.93,16.66,0.1551,XRP
2368.47,2628.43,2842.88,2260.8,9.63,0.0991,XRP
2166.91,2368.68,2637.9,2142.74,9.96,0.0851,XRP
1830.62,2166.3,2276.83,1707.24,13.62,0.1552,XRP
2224.7,1830.42,2281.55,1808.59,11.33,0.2153,XRP
2111.12,2224.7,2402.68,2066.09,9.93,0.0511,XRP
1897.98,2110.9,2173.34,1851.97,4.92,0.101,XRP
